	stage	replicate	quality	ID	safeID	input	genesDetected	embryoGenesDetected	pgExpected	embryoPgExpected
st514	16-cell	8	Use	Ea	Ex	0.136659291179822	1174	6694	0.00366666613556735	2.49011898385811
st515	16-cell	8	Use	Cx1	Cx	0.196643052809065	862	6694	0.0054449369537147	2.49011898385811
st516	16-cell	8	Use	Ep	Ex	2.60505480529254	1519	6694	0.0783739464570887	2.49011898385811
st517	16-cell	8	Use	MSx2	MSx	4.42278566968352	1888	6694	0.134476900597416	2.49011898385811
st518	16-cell	8	Use	Cx2	Cx	0.489753667176623	1136	6694	0.0140037241862757	2.49011898385811
st519	16-cell	8	Use	P4	P4	12.2195040227077	2914	6694	0.385393778882277	2.49011898385811
st520	16-cell	8	Use	D	D	12.8869559231077	2764	6694	0.418250080781501	2.49011898385811
st554	16-cell	9	Toss	tossed	NA	177.7646894732	2180	6788	5.02095712042982	46.7593206249415
st555	16-cell	9	Toss	tossed	NA	26.8194309069818	1720	6788	0.791290029461745	46.7593206249415
st556	16-cell	9	Toss	tossed	NA	0.161109079406897	2836	6788	0.0047086617359686	46.7593206249415
st557	16-cell	9	Toss	tossed	NA	179.3220772408	2783	6788	5.05556061112913	46.7593206249415
st558	16-cell	9	Toss	tossed	NA	178.2096574068	3105	6788	6.11101315724712	46.7593206249415
st561	16-cell	9	Toss	tossed	NA	275.6576348652	3011	6788	8.5198385810442	46.7593206249415
st562	16-cell	9	Toss	tossed	NA	134.3246949555	2768	6788	4.40666199377439	46.7593206249415
st563	16-cell	9	Toss	tossed	NA	104.92343874288	2462	6788	3.17240011672365	46.7593206249415
st564	16-cell	9	Toss	tossed	NA	179.9895291412	2995	6788	6.55801734936132	46.7593206249415
st565	16-cell	9	Toss	tossed	NA	9.41107179564	1118	6788	0.256868137178437	46.7593206249415
st566	16-cell	9	Toss	tossed	NA	163.3032316312	2521	6788	5.1327801204033	46.7593206249415
st567	16-cell	9	Toss	tossed	NA	49.5397632741333	1924	6788	1.59473643320309	46.7593206249415
st568	16-cell	9	Toss	tossed	NA	4.80565368288	1104	6788	0.134488313249347	46.7593206249415
