QUALIFIER	NR_NC filter	qt_cluster 200	PC-6	3C	PC32	0	23	41	53	66
194088_at	1	NC	5	4	4	4	5	4	6	5
194087_s_at	1	NC	32	27	44	19	37	25	18	12
194086_at	1	NC	5	4	4	4	5	4	5	5
194085_at	1	NC	7	5	6	5	6	6	6	6
194084_at	1	NC	63	30	40	27	29	18	25	18
194083_s_at	1	NC	5	5	5	6	7	4	6	5
194082_s_at	1	1	439	253	265	672	225	144	126	90
194081_at	1	NC	7	7	6	7	7	5	5	6
194080_s_at	1	1	215	150	202	358	233	162	80	51
194079_at	1	NC	26	32	30	51	31	53	38	43
194078_s_at	1	5	19	20	24	31	43	68	110	148
194077_s_at	1	NC	36	20	57	27	68	43	54	40
194076_s_at	0	NC	198	104	114	180	87	59	64	35
194075_s_at	1	NC	25	13	26	20	30	19	23	18
194074_at	1	NC	6	5	4	4	5	5	6	5
194073_at	1	NC	5	6	4	4	5	4	5	5
194072_at	1	NC	8	6	9	7	10	9	8	6
194071_at	1	NC	7	6	5	5	7	5	7	7
194070_at	1	NC	5	6	4	4	5	4	6	6
194069_s_at	1	1	14	15	11	37	18	14	11	9
194068_s_at	1	NC	6	5	5	4	6	4	6	6
194067_at	1	NC	5	4	4	4	5	4	5	5
194066_s_at	1	NC	5	5	4	4	5	5	5	5
194065_at	1	NC	6	6	5	4	6	5	6	6
194064_at	1	NC	6	5	5	4	6	6	6	7
194063_at	1	NC	5	4	4	4	5	4	5	5
194062_at	1	NC	6	6	5	4	6	5	6	6
194061_s_at	1	5	89	72	114	64	145	119	287	216
194060_s_at	1	NC	5	5	5	5	6	5	6	6
194059_at	1	NC	6	4	5	4	5	5	6	6
194058_s_at	1	3	136	95	185	80	176	90	190	124
194057_at	1	4	5	5	5	4	6	5	6	5
194056_s_at	1	NC	5	5	4	4	5	4	5	5
194055_at	1	NC	5	5	5	4	5	4	5	5
194054_s_at	1	NC	5	5	4	4	5	4	5	5
194053_s_at	1	NC	6	6	5	5	7	5	6	6
194052_at	1	NC	6	5	5	4	6	4	6	6
194051_s_at	1	NC	5	4	5	4	5	4	5	5
194050_s_at	1	NC	5	4	5	4	8	9	13	12
194049_at	1	NC	6	4	5	4	5	5	6	5
194048_at	1	NC	61	55	63	102	72	96	86	75
194047_s_at	1	NC	34	41	35	36	37	25	32	35
194046_s_at	1	NC	5	5	4	4	5	4	5	6
194045_at	1	NC	5	4	4	4	5	4	5	6
194044_at	1	NC	8	8	7	6	8	8	11	12
194043_at	1	NC	5	5	5	4	5	5	5	6
194042_s_at	1	NC	43	32	47	46	67	52	92	66
194041_s_at	1	NC	21	16	18	30	26	24	17	11
194040_at	1	NC	5	6	5	5	5	6	5	6
194039_s_at	1	1	9	9	8	31	15	18	9	8
194038_s_at	1	NC	5	4	5	4	5	4	5	5
194037_at	1	NC	5	4	4	4	5	4	5	5
194036_s_at	1	NC	10	16	14	7	12	9	8	7
194035_s_at	1	NC	7	5	6	6	6	5	7	7
194034_at	1	NC	20	17	24	23	38	42	40	36
194033_s_at	1	NC	5	6	4	4	5	4	5	5
194032_at	1	NC	5	5	5	4	5	5	5	5
194031_at	1	NC	5	6	6	7	7	5	6	5
194030_s_at	1	4	15	14	13	23	36	19	30	26
194029_s_at	1	2	13	16	19	22	43	35	51	38
194028_s_at	1	NC	5	5	4	4	6	5	5	6
194027_s_at	1	NC	8	6	6	5	8	8	10	10
194026_at	1	NC	5	5	4	5	6	4	5	6
194025_s_at	1	22	416	248	422	353	530	413	620	351
194024_s_at	1	34	258	205	445	447	614	526	956	742
194023_s_at	1	NC	5	5	5	4	5	4	5	6
194022_s_at	1	NC	42	56	53	29	57	44	115	96
194021_s_at	1	NC	7	8	6	10	8	9	10	11
194020_s_at	1	NC	6	6	5	5	6	5	7	6
194019_at	1	NC	24	18	34	35	49	47	72	61
194018_s_at	1	1	97	71	100	133	125	98	50	40
194017_s_at	1	1	427	207	268	298	146	91	64	49
194016_at	1	NC	5	5	5	5	5	4	6	5
194015_at	1	NC	5	5	4	4	5	4	5	5
194014_s_at	1	NC	6	6	6	6	7	7	10	10
194013_s_at	1	NC	166	155	198	93	203	176	90	64
194012_s_at	1	NC	6	5	6	5	7	5	6	6
194011_at	1	NC	14	9	7	21	10	19	8	17
194010_at	1	NC	6	5	5	4	6	5	6	5
194009_at	1	4	6	5	5	5	8	6	9	7
194008_s_at	1	NC	20	23	19	38	17	17	12	16
194007_at	1	1	106	57	84	130	89	54	46	30
