	Nishimura	Hashimshony	Tintori
F02E9.9	6.956596044983	7.00511929372133	6.67387975139356
lir-2	4.84284575012513	4.18970931680716	5.23595537181932
Y57G11C.36	4.84582034245889	4.99881229117933	6.06112413199858
Y53G8AR.6	2.78650220365971	6.75824109746444	4.63041259755198
dhs-4	1.77164965666057	0	0
let-711	4.50385025788221	5.38079887710916	5.93688474003307
fbxa-153	4.57084434232907	4.78056146398373	5.74636347482875
Y110A7A.7	3.16203081706279	1.97500026939307	3.30564455477879
F56C9.6	8.29632948820818	7.53827904571245	8.31307861547092
ZK666.1	2.80432830512376	4.14784004972306	4.17658002372709
ZK484.4	5.66666871680585	3.6102416299291	5.45015643992661
H12D21.7	4.71241275957388	5.22158078879658	5.97055926655924
gly-7	6.38482241680924	5.79946937895858	7.02237445968272
fcp-1	5.71751711048833	5.17467812171428	6.74049151757286
C10C6.7	3.21312103924728	2.4754289877753	2.85597607440724
F19F10.10	6.19571283911306	4.8208015469808	7.21217156137244
Y39B6A.36	6.9579468945608	7.71346453975105	7.7476463421052
tag-307	7.14683981183521	7.23133327067095	7.27696658444684
F54D12.4	7.10754432023624	9.99570307291515	8.79969856533571
Y47D3A.32	1.73904456263043	1.89653729894944	0
twk-31	1.70271747466084	1.34819248021995	0
gei-4	5.80665413080231	6.03086678838219	6.95526268709886
glb-26	8.55906404118628	9.73923098792896	0
F56G4.4	6.34734516401791	5.84005470648509	7.29336243787159
F33E11.3	5.09625097176088	5.52558035538977	5.89977917363648
tag-153	7.17620724184004	6.58098545893322	7.60548609218893
T26C5.3	6.46533200365099	6.21972505687806	7.67311251821983
Y48G8AL.5	2.39145970681991	1.66633093789496	2.54150276910455
him-6	4.68296723336987	4.45246621040049	5.66737351092139
T23G7.3	6.89629308194373	8.48099662323711	7.81626263356916
F22D3.2	6.54380102825014	6.2784192110344	7.94858145860616
sel-13	7.05938960402667	7.07680820306927	6.35292499101352
B0001.8	6.58229177393618	6.21052703502863	7.00688119596705
ztf-11	3.3082062102514	2.63831577174423	4.86656280653435
eor-1	5.63189692043351	4.54799100701007	6.59809405376521
acl-8	4.08187163537228	3.80810773132722	3.21129601664667
T04H1.2	4.41527762032006	2.7042190892129	8.60852495468678
K05C4.7	8.06440745278841	9.92727029753286	7.9724399986151
him-10	7.0432350983271	6.49188192668446	7.78078327825332
tbx-36	6.18260797528562	5.86934621887371	7.24173525045518
EEED8.15	4.59332378267968	5.0075530474279	5.7834608612977
dhs-25	3.94898106583286	3.96970673666955	6.15206480365464
nipi-3	4.89683384993363	4.28292524806626	5.94248012973587
ZK858.6	7.16370098695678	6.06859080791077	7.95228797641047
F09D1.1	6.46779385410474	6.54340771191878	7.07197826584379
mca-3	5.22244525874902	4.76602025139061	6.30085076536142
lrr-1	7.58275374773156	6.28104456315035	7.94350107080132
ndx-4	5.64352847781298	6.66527995606934	5.66812021277622
Y48G1C.1	6.39728879057452	6.03445369233878	6.36528427261567
dif-1	7.64919221656505	7.37407109944534	7.0048092018194
F52H2.7	4.42628531643871	3.14978413167127	4.29315913272589
ZK899.2	3.6825161206052	1.92059830237627	3.00073671161372
F11E6.7	8.11189220380844	7.02248723623303	7.90814502844831
ZK973.2	6.83158072322021	6.12487707118841	7.53901084275665
vps-41	3.66633835839758	2.66659329647395	4.78844088231104
gcy-28	2.40276837447705	1.89298286542468	5.23146337881461
air-2	7.48254556251204	7.78396966256074	7.40082097631744
plk-1	8.89221701212111	7.48025861117575	8.44261450470678
Y105E8A.24	3.81445921608096	2.68608715663195	3.63666184185514
T21B10.3	6.7496157472986	6.8874321294351	7.56326454082648
