Probe Set ID	Gene Symbol	Ensembl
172316_x_at	---	W02D7.9
172317_x_at	---	Y67A6A.1
172318_x_at	---	T22H2.5
172319_x_at	---	F02C12.3
172320_x_at	---	---
172321_x_at	abu-7 /// abu-8	C03A7.8 /// C03A7.14
172322_x_at	---	Y43F8B.6
172323_x_at	abu-6	C03A7.7
172324_x_at	---	---
172325_x_at	---	C02E7.7
172326_x_at	---	T20D4.9
172327_x_at	---	F44D12.3 /// F44D12.7
172328_x_at	---	T11F9.14
172329_x_at	---	---
172330_x_at	---	---
172331_x_at	---	F55C9.11
172332_at	---	T24D8.6
172333_x_at	---	F44D12.5
172334_x_at	nspc-10 /// nspc-3 /// nspc-13 /// nspc-12 /// nspc-15 /// nspc-6 /// nspc-4 /// nspc-5 /// nspc-2	C03G5.9 /// C03G5.10 /// C03G5.11 /// C03G5.12 /// C03G5.13 /// F42F12.9 /// F42F12.10 /// F42F12.6 /// F42F12.8
172335_x_at	---	---
172336_x_at	---	---
172337_x_at	---	C18B12.1
172338_x_at	---	C34D4.1
172339_s_at	---	C07E3.1
172340_x_at	---	C35B1.3
172341_x_at	---	---
172342_x_at	---	C07D8.3
172343_x_at	nlp-31	B0213.6
172344_x_at	nspb-12	F09F7.8
172345_x_at	---	B0034.2
172346_x_at	---	R12E2.7
172347_at	---	C36A4.10
172348_x_at	---	F40G12.7
172349_x_at	---	W04H10.4
172350_x_at	---	T22D1.2
172351_x_at	---	T02H6.3
172352_at	---	C33A12.4
172353_x_at	---	C02E7.6
172354_x_at	---	ZK757.3
172355_x_at	---	T20D4.8
172356_at	---	K02E11.7
172357_x_at	nspc-10 /// nspc-3 /// nspc-13 /// nspc-12 /// nspc-15	C03G5.10 /// F42F12.9 /// F42F12.10 /// F42F12.6 /// F42F12.8
172358_x_at	---	Y43F4A.4
172359_x_at	---	---
172360_x_at	pqn-5	C03A7.4
172361_at	---	B0547.2
172362_x_at	---	B0350.3
172363_x_at	---	F53A9.6
172364_x_at	---	R08C7.1
172365_x_at	---	---
172366_x_at	---	C17B7.9
172367_x_at	math-26	F36H5.1
172368_x_at	---	R09D1.14
172369_x_at	---	Y51B9A.3
172370_x_at	---	---
172371_x_at	---	F44E7.3
172372_at	---	F15A8.1
172373_x_at	---	T24A6.2
172374_x_at	---	---
172375_x_at	nlp-29	B0213.4
172376_x_at	---	Y43F8C.9
172377_x_at	---	D2062.6
172378_x_at	---	C32H11.7
172379_at	---	F10C1.1
172380_x_at	---	F47B3.7 /// F47B3.2
172381_x_at	nspd-1	ZK484.8
172382_x_at	---	F07G6.5
172383_x_at	---	F07G6.3
172384_x_at	---	---
172385_x_at	---	F41G3.1
172386_x_at	nlp-30	B0213.5
172387_x_at	---	---
172388_x_at	nlp-27	B0213.2
172389_x_at	---	Y43D4A.3 /// Y43D4A.4
172390_x_at	sdz-37	ZK673.10
172391_x_at	---	F39D8.1
172392_x_at	---	C36F7.4
172393_x_at	---	K02F6.1
172394_x_at	---	Y65A5A.3
172395_at	---	F22F4.4
172396_at	---	F27C1.10
172397_x_at	---	K09E3.4
172398_x_at	---	F22D6.7 /// VB0393L.2 /// B0393.8 /// F31E3.6
172399_x_at	---	T23B3.5
172400_x_at	---	F22A3.6
172401_x_at	---	F08B4.3
172402_at	---	R13A1.1
172403_x_at	---	F36H5.2
172404_x_at	---	T07F10.5
172405_x_at	cnc-3	R09B5.8
172406_x_at	---	---
172407_x_at	---	C07G2.2
172408_x_at	---	ZK402.1
172409_x_at	---	ZK402.5 /// ZK402.3
172410_x_at	---	ZK402.2
172411_x_at	---	T24A6.1
172412_x_at	---	---
172413_at	---	F52E10.3
172414_x_at	---	K12B6.7
